Geneid	VM-1	VM-2	VM-3	VM-4
YGL240W	294.5	119	286	153.5
YGR085C	10028.25	4608.11	11604.17	6461
YGR237C	1448.25	1007.33	1652.33	1422.33
YGL146C	13	13.17	16	14.08
YGL153W	387	330.25	465	424.83
YGR075C	122	47	153	82.57
tT(UGU)G2	28.33	18.33	25.67	12.67
YGL169W	1598	716	1792	1057.5
YGR187C	1184.32	554.17	1367.58	856.3
YGL167C	7364.25	6070	7672.8	8163.58
YGR050C	92	67	114.25	103
YGR035W-A	0	0	3	4
YGR217W	3191.12	2348.31	3224.68	3307.58
YGR068C	997.88	578.22	1015.45	750.73
YGR296W	486.67	540.49	493.85	762.48
YGR177C	1391.5	252	1597.5	340.31
YGL068W	2111.5	959.25	2664.25	1276.85
tN(GUU)G	1.43	2	3.1	3.37
YGL018C	347	203	429.17	299
YGL188C	175	67.57	175	125.5
YGR126W	371	269.5	386	328.47
YGL065C	1197.68	871.75	1322.35	1322.25
YGL014W	9229.67	5325.92	9946.24	6925.78
YGL100W	1940.33	1050.14	2005.25	1521.58
YGR288W	225	226.08	262	313
YGL174W	333.5	184	442.33	291
YGR211W	4344.98	2270	4786	3163.5
YGL204C	493.13	390.3	536.52	472.13
YGR270W	4039.04	2786.12	4442.62	4020.33
YGR204W	12567.07	8113.83	11880.08	9826.35
YGR266W	2127.5	1456.25	2502.17	2097
YGL070C	444	216	582	353
YGL225W	2720.04	1867.17	2782.38	2745.71
YGL120C	5913	2252	6540.25	3438
tE(UUC)G1	1	0	3.96	1
YGR252W	500.33	352.11	521.73	555.58
YGL106W	1387	1098.5	1597.33	1528.83
YGR284C	3623.5	2562.5	3413	3392
YGR032W	5802.81	38936.2	6581.85	49934.27
YGR174C	205	88	203	122
YGR208W	922	493	949.33	645.44
YGL016W	5690.67	2518.88	6252.48	3670.79
YGR255C	2502.05	2164.55	2801.23	2970.93
YGR146C-A	40.17	33.17	25	46
YGL194C	865.17	640.83	949.75	983.33
YGL138C	5	3	5	8.5
YGR091W	856.08	518.07	908	762.76
YGR200C	2407.9	965	2744.42	1461.34
YGR191W	3382	1547.92	3716.45	2172
YGR270C-A	0	2	0	1
YGL227W	727.42	957.54	857.78	1417.54
YGR081C	644.8	293.32	894.5	476.33
YGL243W	499.42	242	618.5	383.25
YGL194C-A	366	769	399	1117.07
YGR148C	4354.86	1768.83	4878.62	2457.83
YGL136C	211	150	224	197.5
YGR276C	890	446.5	1066.04	696.5
YGL129C	2197.5	962.25	2664	1399
tR(UCU)G2	90	77.5	102.5	73
YGR053C	52.71	55	60.25	86.6
YGR069W	25.5	13.83	23.17	26.83
YGL224C	896.1	394	1055	645
YGL193C	242.5	57	257.5	51
YGL020C	629.5	321	685	427
YGL177W	480.04	452.88	579.88	634.75
YGL189C	12295.25	7869.83	13116.17	9741.67
YGR122W	715	606.25	892	854
YGL003C	940.1	590	950.5	847.75
YGR210C	1395	672	1492.5	894.25
tG(GCC)G1	3	97	1	168
YGR079W	1710.12	1183.45	1972	1790.5
YGL115W	2001.35	1026.5	2589.75	1456.5
YGL105W	9576	5475.81	10143.58	7365.14
YGR026W	2124	1368	2247.81	1879.87
YGR087C	47.85	69	40.33	103.06
YGR278W	657	532.42	755.58	746.43
YGR042W	300.11	174.5	312.33	279.33
YGR043C	233.48	1416.1	297.03	2098.57
YGL165C	35.5	37.25	46.5	33.5
YGR110W	293	625.86	313.17	846.57
YGR089W	2797.75	1701.5	3171.17	2453.94
YGL158W	19.25	35	28	36
YGR262C	1036.67	570.83	1202.58	838.89
YGL200C	2158.88	1324.56	2192.75	1773.33
YGL117W	988.5	1122	1083	1614.12
YGL186C	1149	478.75	1152.58	597
YGR010W	643.11	416.5	776.5	619.78
YGR198W	1790.39	1202.21	1943.15	1796.94
YGR137W	1254.5	1610.67	1477.76	2085.58
YGL058W	2151.67	1683.67	2589.46	2377.93
YGL226W	124	62	127.5	106.33
YGL055W	13586.48	6592.08	14570.81	8830.58
YGL184C	389.28	921.75	300	1270.5
YGL024W	1	0	3	5
tV(AAC)G3	5.2	4	6.57	11
YGL151W	4270.83	3025.58	5035.08	4234.57
